user,course,course_grade,course_topic,easy_correct,medium_correct,hard_correct,upcoming_assignment,days_to_deadline,target
1,CMSC320,91.91814253897003,Introduction to Data Science and Data Type,96.48901845140605,75.67443974699282,66.3785702458749,1,0.3939122060850121,0.5534497122734877
1,CMSC320,91.91814253897003,Experiment Design,90.96731112149746,90.00065420149728,66.89491363995973,1,0.5926907631063886,0.4780652105219992
1,CMSC320,91.91814253897003,Pandas and SQL,70.76982785715525,76.50698216998305,79.16782125687592,1,0.484428168433753,0.6213083950776976
1,CMSC320,91.91814253897003,"Probability, Distributions, and Summary Stats",89.84235093980439,66.62616662558435,95.05881104318684,1,0.9437226950782629,0.6704551483862897
1,CMSC320,91.91814253897003,Hypothesis Testing,99.59613619677303,99.62578482509578,63.954602228062285,0,,0.3427310883688524
1,CMSC320,91.91814253897003,Data Visualization,82.81725130148463,80.9845619531422,97.70148066580012,0,,0.3260599107130274
1,CMSC320,91.91814253897003,Data Exploration,81.79199422160931,98.16440994743785,90.47103138673225,1,0.6529254485568635,0.4536272101790242
1,CMSC320,91.91814253897003,Data Cleaning,80.54262448188689,99.43470456532134,67.61420017301495,1,0.96974346775152,0.3924215160848539
1,CMSC320,91.91814253897003,Introduction to Machine Learning,95.47968298487429,77.15840230829158,89.78812948829813,1,0.28128155969863833,0.7477835015851622
1,CMSC320,91.91814253897003,Feature Engineering,84.66548812861996,97.81130917339766,87.96841089954614,1,0.9578910011996242,0.33124222994126684
1,CMSC320,91.91814253897003,Decision Tree,88.43810071946382,92.71622121734067,98.35460066051705,1,0.15516826506429593,0.5161558349182683
1,CMSC320,91.91814253897003,Classifications,99.09489636051133,80.7394577731729,88.94843452714677,1,0.4422941318117961,0.7347703766569633
1,CMSC320,91.91814253897003,Regression,87.23430671500022,91.63977061644776,62.0129574518368,1,0.2809575012172377,0.8043515624615425
1,CMSC320,91.91814253897003,Unsupervised Learning & Dimensionality Reduction,86.50692190047701,91.20866214774504,82.44913751563297,1,0.4015068027478662,0.5881602529134409
1,CMSC320,91.91814253897003,Introduction to Neural Network,98.94888474527346,89.70440269583561,99.35329567524099,0,,0.30056443828750296
1,CMSC320,91.91814253897003,Image Processing,90.12980666507447,89.75128632898318,55.60056713158769,0,,0.17904322026567318
1,CMSC320,91.91814253897003,Intro to Natural Language Processing,86.89048470060311,60.02942607585418,70.61246527178994,1,0.7871103404419195,0.5893030408385607
1,CMSC320,91.91814253897003,Introduction to Graph Theory,95.30436323073253,72.94991694964204,90.22257641671209,1,0.0023213675481721374,0.45423077426289715
1,CMSC320,91.91814253897003,Recommender System,98.50332604169812,88.60735490550611,83.2141069135044,1,0.09311420745123344,0.6621040805294993
1,CMSC320,91.91814253897003,Data Ethics,96.11791882272104,74.87559959085797,82.44368814938916,1,0.1547258873814873,0.789651014713096
1,CMSC351,78.51263557884991,Introduction,95.55161039959727,81.73937129301693,45.21986019689113,1,0.29548890152643503,0.6424842114922055
1,CMSC351,78.51263557884991,Coin Changing,96.97466814614211,86.61270203378434,79.92590259705031,0,,0.2942996282800238
1,CMSC351,78.51263557884991,Big Notation,71.31363995100628,95.00776041519502,89.31582625709889,0,,0.16892266307694687
1,CMSC351,78.51263557884991,Rigorous Time,82.38223021114484,94.23804671367046,86.64960679079743,0,,0.35819687165238034
1,CMSC351,78.51263557884991,Maximum Contiguous Sum,69.70112390516744,84.07131144314828,50.59289824929981,0,,0.2274444299755914
1,CMSC351,78.51263557884991,BubbleSort,83.72313152936607,93.06268253144727,96.14713529773643,1,0.2126763967198152,0.36590971356672486
1,CMSC351,78.51263557884991,SelectionSort,89.00131590981884,90.00248192706252,68.50321566354455,1,0.9015196628327597,0.506236855517319
1,CMSC351,78.51263557884991,InsertionSort,91.22409512035037,61.43834405664299,84.5652046541349,1,0.3589971841421046,0.7108098726935601
1,CMSC351,78.51263557884991,Binary Search,93.21709096148905,88.51729232523797,77.12641049872559,1,0.6275809652410386,0.7851123843843447
1,CMSC351,78.51263557884991,"Recurrence Relations, Trees, Digging Down",89.31569436112257,55.584552754436075,95.37175018835791,1,0.9729425182967093,0.33415677525490384
1,CMSC351,78.51263557884991,Master Theorem,96.63954499182607,98.85796876214779,95.51607685195694,1,0.8453340398288112,0.34959641282914067
1,CMSC351,78.51263557884991,MergeSort,82.2388647959502,68.07737763518014,79.71072908983953,1,0.9645637332222999,0.4179234876494058
1,CMSC351,78.51263557884991,Heaps and HeapSort,85.4672974114253,99.3557186522814,52.748384226074506,0,,0.43268283262459556
1,CMSC351,78.51263557884991,QuickSort,77.94347799846676,97.5729425777174,70.93889346493712,1,0.9246356259065943,0.6076153215083093
1,CMSC351,78.51263557884991,Limitations on Comparison-Based Sorting,81.48080689924916,82.84012220181917,82.092155114698,1,0.053449562049436294,0.5754654382570223
1,CMSC351,78.51263557884991,CountingSort,99.88532536749372,82.68241087841959,77.17824297025436,1,0.13906731347365742,0.5955947154572212
1,CMSC351,78.51263557884991,RadixSort,88.16390443103182,65.75062364869768,93.55989559924618,1,0.31672046871708626,0.5023423121375048
1,CMSC351,78.51263557884991,Integer Multiplication,88.08295831901732,76.63235993966637,67.21351324620427,1,0.5668010977334995,0.39198281528870355
1,CMSC351,78.51263557884991,Graphs,98.32701332034527,93.1295315326533,97.57069404619828,1,0.5860478004696182,0.48870647182289234
1,CMSC351,78.51263557884991,Shortest Path,65.78484913926077,87.97551255316668,78.51545797662621,1,0.5047032719851536,0.6005287332612036
1,CMSC351,78.51263557884991,Breadth-First Traverse,97.93383990724199,97.05910630749487,87.73735265829804,1,0.5634204037661437,0.49844180924519416
1,CMSC351,78.51263557884991,Depth-First Traverse,84.24533792981916,83.60138006752233,59.0030420416472,1,0.5344458902581681,0.6215072115625012
1,CMSC351,78.51263557884991,Dijkstras Algorithm,87.20542024362284,67.07119320059724,92.36098966026776,0,,0.34629410410466044
1,CMSC351,78.51263557884991,Floyds Algorithm,92.78968377344992,62.46615254147707,86.41539539742062,1,0.29200834050995994,0.46702505646277925
1,CMSC351,78.51263557884991,Spanning Trees,80.48666699642314,95.64054582528176,92.9906709871632,0,,0.4037155379422851
1,CMSC351,78.51263557884991,Minimax Algorithm,92.06829049328648,94.99835597063348,82.69574657041763,1,0.18892708769143807,0.5675302663077699
1,CMSC351,78.51263557884991,Huffmans Algorithm,65.49167134075967,69.14469475253824,57.49942880522134,0,,0.35482385191242666
1,CMSC351,78.51263557884991,P and NP,90.44001439047051,94.88087511445207,98.85128601653679,1,0.6510654713973836,0.6063299014656943
1,COMM107,85.0637868033824,Informative Presentation,96.09224798615188,65.61306509144784,79.8354564402496,1,0.24231506226701616,0.6527122193981989
1,COMM107,85.0637868033824,Persuasive Presentation,99.35426527649952,75.53227911958146,79.23462130351365,1,0.6707538733123539,0.5133357044403043
